File Name;Song Title;Author;Gender
"Afrojack - Take Over Control (feat. Eva Simons).mp3";Take Over Control (feat. Eva Simons);Afrojack;m
"Taylor Swift, Gary Lightbody - The Last Time.mp3";The Last Time;Taylor Swift, Gary Lightbody;M+F
"Whitney Houston - Saving All My Love for You.mp3";Saving All My Love for You ;Whitney Houston;F
"Britney Spears - Till the World Ends.mp3";Till the World Ends;Britney Spears;f
"NICKI MINAJ - STARSHIPS.mp3";STARSHIPS;NICKI MINAJ;F
"Blaque - Bring It All to Me.mp3";Bring It All to Me;Blaque;F+
"The Louisiana Blues Brothas - My Sidepiece (feat. Pokey & Major Clark Jr.).mp3";My Sidepiece (feat. Pokey & Major Clark Jr.);The Louisiana Blues Brothas;m+
"Bob Marley, The Wailers - Jamming.mp3";Jamming;Bob Marley, The Wailers;m+
"blackbear - do re mi (feat. Gucci Mane).mp3";do re mi (feat. Gucci Mane);blackbear;m
"Whitney Houston - I Believe in You and Me.mp3";I Believe in You and Me ;Whitney Houston;F
"The Ronettes - Be My Baby.mp3";Be My Baby;The Ronettes;F+
"Taylor Swift - Tied Together with a Smile.mp3";Tied Together with a Smile;Taylor Swift;F
"TNGHT - Higher Ground.mp3";Higher Ground;TNGHT;m+
"Damian Marley, Nas - Patience.mp3";Patience;Damian Marley, Nas;m+
"Martha, Vandellas - Jimmy Mack.mp3";Jimmy Mack;Martha, Vandellas;F+
"Imagine Dragons - Round and Round.mp3";Round and Round;Imagine Dragons;M+F
"Ben Folds - You Don't Know Me - featuring Regina Spektor - Explicit Album Version.mp3";You Don't Know Me - featuring Regina Spektor - Explicit Album Version;Ben Folds;M+F
"Miguel - Sky Walker (feat. Travis Scott).mp3";Sky Walker (feat. Travis Scott);Miguel;m
"CHERYL COLE - FIGHT FOR THIS LOVE.mp3";FIGHT FOR THIS LOVE;CHERYL COLE;F
"The Chainsmokers - Memories...Do Not Open.mp3";Memories...Do Not Open;The Chainsmokers;M+
"P!nk - What About Us (Cash Cash Remix).mp3";What About Us (Cash Cash Remix);P!nk;f
"Kansas - Carry On Wayward Son.mp3";Carry On Wayward Son;Kansas;m+
"Dixie Cups - People Say.mp3";People Say;Dixie Cups;F+
"Common Kings - Take Her.mp3";Take Her;Common Kings;m+
"Jonny Lang - Make It Move.mp3";Make It Move;Jonny Lang;m
"Walter Trout - We're All In This Together (feat. Joe Bonamassa).mp3";We're All In This Together (feat. Joe Bonamassa);Walter Trout;m
"Demi Lovato - Sorry Not Sorry.mp3";Sorry Not Sorry;Demi Lovato;f
"Expose - Airwave (Phil York Remix).mp3";Airwave (Phil York Remix);Exposé;F+
"The Pussycat Dolls - Don't Cha.mp3";Don't Cha;The Pussycat Dolls;F+
"He Loves U Not - Dream.mp3";Dream;He Loves U Not;F+
"Whitney Houston - Try It on My Own.mp3";Try It on My Own;Whitney Houston;F
"Eric B., Rakim - Paid in Full.mp3";Paid in Full;Eric B., Rakim;m+
"The Weeknd - Starboy (feat. Daft Punk).mp3";Starboy (feat. Daft Punk);The Weeknd;m
"Brad Paisley, Demi Lavoto - Without a Fight.mp3";Without a Fight;Brad Paisley, Demi Lavoto;M+F
"ALL SAINTS - NEVER EVER.mp3";NEVER EVER;ALL SAINTS;F
"Avicii - Levels.mp3";Levels;Avicii;m
"BTS - Pied Piper.mp3";Pied Piper;BTS;m+
"Imagine Dragons - Monster.mp3";Monster;Imagine Dragons;M+F
"Taylor Swift - Bad Blood.mp3";Bad Blood;Taylor Swift;F
"Little Mix - Black Magic.mp3";Black Magic;Little Mix;F+
"Whitney Houston - I'm Every Woman.mp3";I'm Every Woman ;Whitney Houston;F
"Madeon - Finale.mp3";Finale;Madeon;m
"DONNA SUMMER - I FEEL LOVE.mp3";I FEEL LOVE;DONNA SUMMER;F
"Porter Robinson - Sad Machine.mp3";Sad Machine;Porter Robinson;m
"Expose - Point Of No Return (Extended Version).mp3";Point Of No Return (Extended Version);Exposé;F+
"Louis Armstrong, Ella Fitzgerald - Summertime.mp3";Summertime;Louis Armstrong, Ella Fitzgerald;M+F
