File Name;Song Title;Author;Genre
"John Lee Hooker - Boom Boom.mp3";Boom Boom;John Lee Hooker;Blues
"Darius Rucker - Wagon Wheel.mp3";Wagon Wheel;Darius Rucker;Country
"Keb' Mo' - Life Is Beautiful.mp3";Life Is Beautiful;Keb' Mo';Blues
"Kelsea Ballerini - Legends.mp3";Legends;Kelsea Ballerini;Country
"Bobby Caldwell - What You Won't Do for Love.mp3";What You Won't Do for Love;Bobby Caldwell;Jazz
"Miranda Lambert - Tin Man.mp3";Tin Man;Miranda Lambert;Country
"Bebe Rexha, Florida Georgia Line - Meant to Be.mp3";Meant to Be;Bebe Rexha, Florida Georgia Line;Pop
"Jordan Davis - Singles You Up.mp3";Singles You Up;Jordan Davis;Country
"Billy Joel - Piano Man.mp3";Piano Man;Billy Joel;Rock
"Queen, David Bowie - Under Pressure.mp3";Under Pressure;Queen, David Bowie;Rock
"John Legend - All of Me.mp3";All of Me;John Legend;R&B/Soul
"The Beatles - Here Comes the Sun.mp3";Here Comes the Sun;The Beatles;Rock
"Bobby 'Blue' Bland - Ain't No Sunshine When She's Gone.mp3";Ain't No Sunshine When She's Gone;Bobby 'Blue' Bland;Blues
"Chris Brown - Hope You Do.mp3";Hope You Do;Chris Brown;R&B/Soul
"Lil Jon - Outta Your Mind (feat. LMFAO).mp3";Outta Your Mind (feat. LMFAO);Lil Jon;Electronic
"Carnage - Bricks (feat. Migos).mp3";Bricks (feat. Migos);Carnage;Electronic
"Marvin Gaye, Tammi Terrell - Ain't No Mountain High Enough.mp3";Ain't No Mountain High Enough;Marvin Gaye, Tammi Terrell;R&B/Soul
"Chaka Demus, Pliers - Murder She Wrote.mp3";Murder She Wrote;Chaka Demus, Pliers;Reggae
"P.S.K. What Does It Mean - Schoolly D.mp3";Schoolly D;P.S.K. What Does It Mean?;Hip-hop- Rap
"Kane Brown - What Ifs (feat. Lauren Alaina).mp3";What Ifs (feat. Lauren Alaina);Kane Brown;Country
"Kelsea Ballerini - Graveyard.mp3";Graveyard;Kelsea Ballerini;Country
"Kid Rock - Cowboy.mp3";Cowboy;Kid Rock;Rock
"Xscape - Who Can I Run To.mp3";Who Can I Run To;Xscape;R&B/Soul
"Etta James - Stormy Weather.mp3";Stormy Weather;Etta James;Blues
"Herb Alpert, The Tijuana Brass - A Taste of Honey.mp3";A Taste of Honey;Herb Alpert, The Tijuana Brass;Jazz
"Flosstradamus, DJ Sliink - Crowd CTRL.mp3";Crowd CTRL;Flosstradamus, DJ Sliink;Electronic
"Samantha Fish - Runaway.mp3";Runaway;Samantha Fish;Blues
"Ed Sheeran - Perfect.mp3";Perfect;Ed Sheeran;Pop
"Grandmaster Flash, the Furious Five - The Message.mp3";The Message;Grandmaster Flash, the Furious Five;Hip-hop- Rap
"La Roux - In For The Kill (Skrillex Remix).mp3";In For The Kill (Skrillex Remix);La Roux;Electronic
"Damian Jr. Gong Marley - Medication (feat. Stephen Marley).mp3";Medication (feat. Stephen Marley);"Damian ""Jr. Gong"" Marley";Reggae
"Lee Brice - Boy.mp3";Boy;Lee Brice;Country
"Brett Eldredge - The Long Way.mp3";The Long Way;Brett Eldredge;Country
"Gregory Porter - Insanity (feat. Lalah Hathaway).mp3";Insanity (feat. Lalah Hathaway);Gregory Porter;Jazz
"California Love - 2Pac feat. Dr. Dre and Roger Troutman.mp3";2Pac feat. Dr. Dre and Roger Troutman;California Love;Hip-hop- Rap
"Louis Armstrong - A Kiss to Build a Dream On (Single Version).mp3";A Kiss to Build a Dream On (Single Version);Louis Armstrong;Jazz
"George Benson - Turn Your Love Around.mp3";Turn Your Love Around;George Benson;Jazz
"Luis Fonsi, Daddy Yankee - Despacito (feat. Justin Bieber) [Remix].mp3";Despacito (feat. Justin Bieber) [Remix];Luis Fonsi, Daddy Yankee;Pop
